InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
C000001,SC9646,Product 78,84,2023-01-01 00:00:00,8.96,55826,UK
I000002,SC4198,Product 97,39,2023-01-01 01:00:00,70.88,25654,UK
C000003,SC4943,Product 86,12,2023-01-01 02:00:00,80.23,52561,USA
C000004,SC3994,Product 27,32,2023-01-01 03:00:00,14.28,74321,France
C000005,SC9466,Product 64,81,2023-01-01 04:00:00,50.81,24685,UK
I000006,SC6549,Product 85,78,2023-01-01 05:00:00,21.57,46153,Germany
C000007,SC6962,Product 88,78,2023-01-01 06:00:00,80.02,16976,USA
C000008,SC8293,Product 59,15,2023-01-01 07:00:00,52.05,70873,Canada
C000009,SC7827,Product 83,98,2023-01-01 08:00:00,88.47,48411,France
C000010,SC7010,Product 47,49,2023-01-01 09:00:00,66.01,71448,Canada
C000011,SC3567,Product 16,22,2023-01-01 10:00:00,72.3,91026,USA
C000012,SC8449,Product 32,29,2023-01-01 11:00:00,44.83,84757,USA
I000013,SC5555,Product 65,22,2023-01-01 12:00:00,46.04,70263,France
I000014,SC9015,Product 15,49,2023-01-01 13:00:00,5.22,14785,UK
C000015,SC9218,Product 64,71,2023-01-01 14:00:00,85.2,88165,UK
C000016,SC6017,Product 22,24,2023-01-01 15:00:00,58.84,27181,USA
I000017,SC6320,Product 55,95,2023-01-01 16:00:00,98.17,17672,UK
C000018,SC2127,Product 79,74,2023-01-01 17:00:00,78.55,58048,Canada
C000019,SC3954,Product 42,74,2023-01-01 18:00:00,38.43,90462,Germany
I000020,SC2173,Product 33,84,2023-01-01 19:00:00,43.29,55456,Spain
I000021,SC3455,Product 66,85,2023-01-01 20:00:00,2.59,92115,UK
I000022,SC8529,Product 53,78,2023-01-01 21:00:00,87.38,46981,UK
C000023,SC7936,Product 25,11,2023-01-01 22:00:00,76.81,33287,Canada
I000024,SC3282,Product 43,90,2023-01-01 23:00:00,68.65,76483,USA
C000025,SC5223,Product 54,89,2023-01-02 00:00:00,73.03,16315,Spain
